Date,Watch Hours
2024-05-30,6.39
2024-05-31,3.32
2024-06-01,2.93
2024-06-02,6.29
2024-06-03,7.13
2024-06-04,1.54
2024-06-05,2.05
2024-06-06,1.4
2024-06-07,1.49
2024-06-08,2.53
2024-06-09,1.21
2024-06-10,1.17
2024-06-11,0.16
2024-06-12,3.06
2024-06-13,2.87
2024-06-14,3.38
2024-06-15,3.1
2024-06-16,3.51
2024-06-17,2.42
2024-06-18,1.1
2024-06-19,3.65
2024-06-20,3.67
2024-06-21,4.67
2024-06-22,3.5
2024-06-23,2.4
2024-06-24,2.7
2024-06-25,3.56
2024-06-26,2.83
2024-06-27,2.62
2024-06-28,5.38
2024-06-29,4.57
2024-06-30,2.55
2024-07-01,3.52
2024-07-02,4.54
2024-07-03,3.14
2024-07-04,3.59
2024-07-05,1.16
2024-07-06,2.39
2024-07-07,3.95
2024-07-08,3.37
2024-07-09,0.39
2024-07-10,0.97
2024-07-11,2.81
2024-07-12,1.73
2024-07-13,3.93
2024-07-14,5.39
2024-07-15,2.48
2024-07-16,2.11
2024-07-17,3.79
2024-07-18,2.14
2024-07-19,2.78
2024-07-20,2.5
2024-07-21,4.02
2024-07-22,2.89
2024-07-23,1.06
2024-07-24,0.02
2024-07-26,0.01
2024-07-27,0.3
2024-07-28,0.26
2024-07-29,1.86
2024-07-30,5.19
2024-07-31,4.92
2024-08-01,4.35
2024-08-02,5.17
2024-08-03,0.85
2024-08-04,3.25
2024-08-05,5.33
2024-08-06,4.2
2024-08-07,6.07
2024-08-08,4.01
2024-08-09,2.81
2024-08-10,3.47
2024-08-11,3.1
2024-08-12,1.99
2024-08-13,3.47
2024-08-14,3.23
2024-08-15,3.18
2024-08-16,2.73
2024-08-17,1.95
2024-08-18,4.07
2024-08-19,1.83
2024-08-20,6.01
2024-08-21,11.86
2024-08-22,5.51
2024-08-23,2.55
2024-08-24,1.21
2024-08-25,4.38
2024-08-26,3.62
2024-08-27,4.28
2024-08-28,5.64
2024-08-29,2.92
2024-08-30,4.83
2024-08-31,1.53
2024-09-01,3.02
2024-09-02,3.72
2024-09-03,2.67
2024-09-04,3.87
2024-09-05,4.7
2024-09-06,2.09
2024-09-07,2.28
2024-09-08,2.56
2024-09-09,2.11
2024-09-10,4.69
2024-09-11,3.01
2024-09-12,3.5
2024-09-13,1.39
2024-09-14,0.87
2024-09-15,0.85
2024-09-16,0.44
2024-09-17,0.51
2024-09-18,2.28
2024-09-19,0.24
2024-09-20,0.1
2024-09-21,0.81
2024-09-22,1.26
2024-09-23,2.53
2024-09-24,0.82
2024-09-25,1.21
2024-09-26,1.37
2024-09-27,0.69
2024-09-28,1.5
2024-09-29,0.88
2024-09-30,0.6
2024-10-01,2.21
2024-10-02,0.43
2024-10-03,0.68
2024-10-04,1.96
2024-10-05,1.16
2024-10-06,0.77
2024-10-07,1.7
2024-10-08,1.29
2024-10-09,0.03
2024-10-10,0.86
2024-10-11,0.31
2024-10-12,6.31
2024-10-13,1.41
2024-10-14,1.25
2024-10-15,1.19
2024-10-16,0.27
2024-10-17,0.3
2024-10-18,2.7
2024-10-19,0.68
2024-10-20,0.01
2024-10-21,1.28
2024-10-22,2.28
2024-10-23,0.93
2024-10-24,0.46
2024-10-25,1.42
2024-10-26,1.17
2024-10-27,1.97
2024-10-28,2.58
2024-10-29,2.13
2024-10-30,0.95
2024-10-31,2.26
2024-11-01,0.71
2024-11-02,1.95
2024-11-03,0.11
2024-11-04,1.19
2024-11-05,2.79
2024-11-06,0.39
2024-11-07,0.75
2024-11-08,0.72
2024-11-09,2.5
2024-11-10,1.09
2024-11-11,1.37
2024-11-12,0.79
2024-11-13,0.5
2024-11-14,1.21
2024-11-15,5.59
2024-11-16,2.17
2024-11-17,0.97
2024-11-18,2.01
2024-11-19,1.29
2024-11-20,0.72
2024-11-21,0.93
2024-11-22,1.48
2024-11-23,2.57
2024-11-24,4.33
2024-11-25,1.58
